IPF,FY,ORG_TYPE,REGION,STATE_CODE,tot_doll
d90989a4cdd6d5bfaa162843cd929177,1985,Other Higher Education,North East,MA,1883821.592292948
7934d9e2205fc2339fb89610983a9180,1985,Medical Schools,North East,MA,50774460.47054241
c4e84793ec76ea103bfe4a4ad8791295,1985,Other Higher Education,North East,MA,33662495.94088941
0dc40cc0dcd2d7dae955f2805c012de6,1985,Other Higher Education,North East,MA,9699238.39900159
ca02cf6d70d7369b838de4ecf0c44ffd,1985,Other Higher Education,North East,MA,1350706.0912470552
c210d7d1e88865963116dc448d52014b,1985,Other Higher Education,North East,MA,852944.9882401077
1e72ec43fe59d853ba874493184fd388,1985,Other Domestic NonProfit,North East,NY,816149.7463709813
87a395e3dcf7c709bea80e8e48512b20,1985,Other Domestic NonProfit,West,CA,110591.10913199012
6e6c734ea806affff003ab4dcf4ee723,1985,Hospitals,North East,NH,106970.04024603183
ad479592e92701acacaa67f7f46b4306,1985,Research Institutes,West,WA,39299359.5277815
5560e7080b823fb9c57e6f464da55030,1985,Foreign,Foreign,,235119.8578530438
3bb01cbae34acc4cd7e9bc095103ee6c,1985,Foreign,Foreign,,126579.42376510493
3d9cfa1f39eb7619caee185dcafa7386,1985,Other Higher Education,North East,MA,2004934.654906827
41829a2a831aae335b5024bfd35c1707,1985,Research Institutes,South,MD,15438.518834281369
00af1093de8f907d028390f3aa254793,1985,Research Institutes,West,CA,1427219.3400330243
f4d03aa922326ac866f6afef9464de08,1985,Medical Schools,North East,MA,78988780.21520598
7011828b2b935a1dffb0f4a63d4a083d,1985,Other Higher Education,North East,MA,15242263.851663785
5520ce8d2b0bd8b38ba83ebc90858077,1985,Other Higher Education,North East,ME,407638.828248918
c9745073b730e3e644be2a84b2103383,1985,Research Institutes,West,CA,762241.3203576191
254448adaa84f60f2ab45745f7cf452e,1985,Other Higher Education,North East,MA,23415126.92623293
ccc5af557556adfeaca41be95952f625,1985,Other Higher Education,West,UT,569493.6561702108
57239a1acd10ac3254148ad5c4b4da11,1985,Other Domestic NonProfit,North East,MA,611869.0093480167
f60a320837ade2d8b7de73401bb975a3,1985,Foreign,Foreign,BC,2031141.5880007138
e61c959980823e5dffcca68da179dca0,1985,Foreign,Foreign,,102122.98992663767
d6a7a4392d3cfc15e69146d475a6e663,1985,Research Institutes,Mid West,IL,2899029.015357447
